System.out.println("📂 Reading CSV: " + csvFile);

q_id,category,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,year,difficulty
33,Quantitative,Sample Quantitative question 33?,Option A33,Option B33,Option C33,Option D33,B,Explanation for Quantitative question 33,2023,Medium
34,Logical,Sample Logical question 34?,Option A34,Option B34,Option C34,Option D34,C,Explanation for Logical question 34,2024,Easy
35,Technical,Sample Technical question 35?,Option A35,Option B35,Option C35,Option D35,D,Explanation for Technical question 35,2020,Medium
36,Verbal,Sample Verbal question 36?,Option A36,Option B36,Option C36,Option D36,A,Explanation for Verbal question 36,2021,Easy
37,Quantitative,Sample Quantitative question 37?,Option A37,Option B37,Option C37,Option D37,B,Explanation for Quantitative question 37,2022,Medium
38,Logical,Sample Logical question 38?,Option A38,Option B38,Option C38,Option D38,C,Explanation for Logical question 38,2023,Easy
39,Technical,Sample Technical question 39?,Option A39,Option B39,Option C39,Option D39,D,Explanation for Technical question 39,2024,Medium
40,Verbal,Sample Verbal question 40?,Option A40,Option B40,Option C40,Option D40,A,Explanation for Verbal question 40,2020,Easy
41,Quantitative,Sample Quantitative question 41?,Option A41,Option B41,Option C41,Option D41,B,Explanation for Quantitative question 41,2021,Medium
42,Logical,Sample Logical question 42?,Option A42,Option B42,Option C42,Option D42,C,Explanation for Logical question 42,2022,Easy
43,Technical,Sample Technical question 43?,Option A43,Option B43,Option C43,Option D43,D,Explanation for Technical question 43,2023,Medium
44,Verbal,Sample Verbal question 44?,Option A44,Option B44,Option C44,Option D44,A,Explanation for Verbal question 44,2024,Easy
45,Quantitative,Sample Quantitative question 45?,Option A45,Option B45,Option C45,Option D45,B,Explanation for Quantitative question 45,2020,Medium
46,Logical,Sample Logical question 46?,Option A46,Option B46,Option C46,Option D46,C,Explanation for Logical question 46,2021,Easy
47,Technical,Sample Technical question 47?,Option A47,Option B47,Option C47,Option D47,D,Explanation for Technical question 47,2022,Medium
48,Verbal,Sample Verbal question 48?,Option A48,Option B48,Option C48,Option D48,A,Explanation for Verbal question 48,2023,Easy
49,Quantitative,Sample Quantitative question 49?,Option A49,Option B49,Option C49,Option D49,B,Explanation for Quantitative question 49,2024,Medium
50,Logical,Sample Logical question 50?,Option A50,Option B50,Option C50,Option D50,C,Explanation for Logical question 50,2020,Easy
